DayOfWeek,Sales,Open,Promo,StateHoliday,SchoolHoliday,Month,Year,WeekOfYear,Date
3,3134.0,1,1,0,0,11,2014,46,2014-11-12
2,2783.0,1,1,0,0,11,2014,46,2014-11-11
1,3318.0,1,1,0,0,11,2014,46,2014-11-10
7,0.0,0,0,0,0,11,2014,45,2014-11-09
6,4366.0,1,0,0,0,11,2014,45,2014-11-08
5,4281.0,1,1,0,0,11,2014,45,2014-11-07
4,3536.0,1,1,0,0,11,2014,45,2014-11-06
3,4653.0,1,1,0,0,11,2014,45,2014-11-05
2,3509.0,1,1,0,0,11,2014,45,2014-11-04
1,4681.0,1,1,0,0,11,2014,45,2014-11-03
7,0.0,0,0,0,0,11,2014,44,2014-11-02
6,0.0,0,0,1,0,11,2014,44,2014-11-01
5,5317.0,1,0,0,1,10,2014,44,2014-10-31
4,3303.0,1,0,0,1,10,2014,44,2014-10-30
3,3032.0,1,0,0,1,10,2014,44,2014-10-29
2,3063.0,1,0,0,1,10,2014,44,2014-10-28
1,3177.0,1,0,0,1,10,2014,44,2014-10-27
7,0.0,0,0,0,0,10,2014,43,2014-10-26
6,3318.0,1,0,0,0,10,2014,43,2014-10-25
5,3340.0,1,1,0,1,10,2014,43,2014-10-24
4,2486.0,1,1,0,1,10,2014,43,2014-10-23
3,3092.0,1,1,0,1,10,2014,43,2014-10-22
2,2940.0,1,1,0,1,10,2014,43,2014-10-21
1,3028.0,1,1,0,1,10,2014,43,2014-10-20
7,0.0,0,0,0,0,10,2014,42,2014-10-19
6,3261.0,1,0,0,0,10,2014,42,2014-10-18
5,2850.0,1,0,0,0,10,2014,42,2014-10-17
4,2363.0,1,0,0,0,10,2014,42,2014-10-16
3,2238.0,1,0,0,0,10,2014,42,2014-10-15
2,2085.0,1,0,0,0,10,2014,42,2014-10-14
1,2128.0,1,0,0,0,10,2014,42,2014-10-13
7,0.0,0,0,0,0,10,2014,41,2014-10-12
6,3752.0,1,0,0,0,10,2014,41,2014-10-11
5,3763.0,1,1,0,0,10,2014,41,2014-10-10
4,3288.0,1,1,0,0,10,2014,41,2014-10-09
3,3205.0,1,1,0,0,10,2014,41,2014-10-08
2,3104.0,1,1,0,0,10,2014,41,2014-10-07
1,4037.0,1,1,0,0,10,2014,41,2014-10-06
7,0.0,0,0,0,0,10,2014,40,2014-10-05
6,4726.0,1,0,0,0,10,2014,40,2014-10-04
5,0.0,0,1,1,0,10,2014,40,2014-10-03
4,3914.0,1,1,0,0,10,2014,40,2014-10-02
3,3512.0,1,1,0,0,10,2014,40,2014-10-01
2,3290.0,1,1,0,0,9,2014,40,2014-09-30
1,3678.0,1,1,0,0,9,2014,40,2014-09-29
7,0.0,0,0,0,0,9,2014,39,2014-09-28
6,3556.0,1,0,0,0,9,2014,39,2014-09-27
5,2516.0,1,0,0,0,9,2014,39,2014-09-26
4,2099.0,1,0,0,0,9,2014,39,2014-09-25
3,2013.0,1,0,0,0,9,2014,39,2014-09-24
2,2035.0,1,0,0,0,9,2014,39,2014-09-23
1,2652.0,1,0,0,0,9,2014,39,2014-09-22
7,0.0,0,0,0,0,9,2014,38,2014-09-21
6,3351.0,1,0,0,0,9,2014,38,2014-09-20
5,3743.0,1,1,0,0,9,2014,38,2014-09-19
4,3542.0,1,1,0,0,9,2014,38,2014-09-18
3,3452.0,1,1,0,0,9,2014,38,2014-09-17
2,2801.0,1,1,0,0,9,2014,38,2014-09-16
1,3705.0,1,1,0,0,9,2014,38,2014-09-15
7,0.0,0,0,0,0,9,2014,37,2014-09-14
6,4086.0,1,0,0,0,9,2014,37,2014-09-13
5,2839.0,1,0,0,0,9,2014,37,2014-09-12
4,2408.0,1,0,0,0,9,2014,37,2014-09-11
3,2365.0,1,0,0,0,9,2014,37,2014-09-10
2,2141.0,1,0,0,0,9,2014,37,2014-09-09
1,2163.0,1,0,0,0,9,2014,37,2014-09-08
7,0.0,0,0,0,0,9,2014,36,2014-09-07
6,3364.0,1,0,0,0,9,2014,36,2014-09-06
5,3149.0,1,1,0,1,9,2014,36,2014-09-05
4,3542.0,1,1,0,1,9,2014,36,2014-09-04
3,3123.0,1,1,0,1,9,2014,36,2014-09-03
2,3429.0,1,1,0,1,9,2014,36,2014-09-02
1,3532.0,1,1,0,1,9,2014,36,2014-09-01
7,0.0,0,0,0,0,8,2014,35,2014-08-31
6,3550.0,1,0,0,0,8,2014,35,2014-08-30
5,3755.0,1,0,0,1,8,2014,35,2014-08-29
4,2259.0,1,0,0,1,8,2014,35,2014-08-28
3,2294.0,1,0,0,1,8,2014,35,2014-08-27
2,2168.0,1,0,0,1,8,2014,35,2014-08-26
1,2558.0,1,0,0,1,8,2014,35,2014-08-25
7,0.0,0,0,0,0,8,2014,34,2014-08-24
6,3297.0,1,0,0,0,8,2014,34,2014-08-23
5,3311.0,1,1,0,1,8,2014,34,2014-08-22
4,3591.0,1,1,0,1,8,2014,34,2014-08-21
3,3552.0,1,1,0,1,8,2014,34,2014-08-20
2,3609.0,1,1,0,1,8,2014,34,2014-08-19
1,5254.0,1,1,0,1,8,2014,34,2014-08-18
7,0.0,0,0,0,0,8,2014,33,2014-08-17
6,3585.0,1,0,0,0,8,2014,33,2014-08-16
5,3465.0,1,0,0,1,8,2014,33,2014-08-15
4,2868.0,1,0,0,1,8,2014,33,2014-08-14
3,3524.0,1,0,0,1,8,2014,33,2014-08-13
2,2755.0,1,0,0,1,8,2014,33,2014-08-12
1,3519.0,1,0,0,1,8,2014,33,2014-08-11
7,0.0,0,0,0,0,8,2014,32,2014-08-10
6,4194.0,1,0,0,0,8,2014,32,2014-08-09
5,3322.0,1,1,0,1,8,2014,32,2014-08-08
4,3295.0,1,1,0,1,8,2014,32,2014-08-07
3,3709.0,1,1,0,1,8,2014,32,2014-08-06
2,3693.0,1,1,0,1,8,2014,32,2014-08-05
1,4424.0,1,1,0,1,8,2014,32,2014-08-04
7,0.0,0,0,0,0,8,2014,31,2014-08-03
6,4173.0,1,0,0,0,8,2014,31,2014-08-02
5,3810.0,1,1,0,1,8,2014,31,2014-08-01
4,5154.0,1,1,0,1,7,2014,31,2014-07-31
3,3829.0,1,1,0,1,7,2014,31,2014-07-30
2,4015.0,1,1,0,1,7,2014,31,2014-07-29
1,4723.0,1,1,0,1,7,2014,31,2014-07-28
7,0.0,0,0,0,0,7,2014,30,2014-07-27
6,3545.0,1,0,0,0,7,2014,30,2014-07-26
5,2452.0,1,0,0,0,7,2014,30,2014-07-25
4,2567.0,1,0,0,0,7,2014,30,2014-07-24
3,2099.0,1,0,0,0,7,2014,30,2014-07-23
2,2721.0,1,0,0,0,7,2014,30,2014-07-22
1,2539.0,1,0,0,0,7,2014,30,2014-07-21
7,0.0,0,0,0,0,7,2014,29,2014-07-20
6,3142.0,1,0,0,0,7,2014,29,2014-07-19
5,2980.0,1,1,0,0,7,2014,29,2014-07-18
4,3499.0,1,1,0,0,7,2014,29,2014-07-17
3,3286.0,1,1,0,0,7,2014,29,2014-07-16
2,3159.0,1,1,0,0,7,2014,29,2014-07-15
1,3764.0,1,1,0,0,7,2014,29,2014-07-14
7,0.0,0,0,0,0,7,2014,28,2014-07-13
6,4104.0,1,0,0,0,7,2014,28,2014-07-12
5,2768.0,1,0,0,0,7,2014,28,2014-07-11
4,2541.0,1,0,0,0,7,2014,28,2014-07-10
3,2730.0,1,0,0,0,7,2014,28,2014-07-09
2,2552.0,1,0,0,0,7,2014,28,2014-07-08
1,2555.0,1,0,0,0,7,2014,28,2014-07-07
7,0.0,0,0,0,0,7,2014,27,2014-07-06
6,3665.0,1,0,0,0,7,2014,27,2014-07-05
5,3047.0,1,1,0,0,7,2014,27,2014-07-04
4,2940.0,1,1,0,0,7,2014,27,2014-07-03
3,2766.0,1,1,0,0,7,2014,27,2014-07-02
2,3399.0,1,1,0,0,7,2014,27,2014-07-01
1,4754.0,1,1,0,0,6,2014,27,2014-06-30
7,0.0,0,0,0,0,6,2014,26,2014-06-29
6,4201.0,1,0,0,0,6,2014,26,2014-06-28
5,3158.0,1,0,0,0,6,2014,26,2014-06-27
4,1859.0,1,0,0,0,6,2014,26,2014-06-26
3,2329.0,1,0,0,0,6,2014,26,2014-06-25
2,1822.0,1,0,0,0,6,2014,26,2014-06-24
1,2406.0,1,0,0,0,6,2014,26,2014-06-23
7,0.0,0,0,0,0,6,2014,25,2014-06-22
6,2842.0,1,0,0,0,6,2014,25,2014-06-21
5,4877.0,1,1,0,0,6,2014,25,2014-06-20
4,0.0,0,1,1,0,6,2014,25,2014-06-19
3,3556.0,1,1,0,0,6,2014,25,2014-06-18
2,3018.0,1,1,0,0,6,2014,25,2014-06-17
1,3248.0,1,1,0,0,6,2014,25,2014-06-16
7,0.0,0,0,0,0,6,2014,24,2014-06-15
6,3702.0,1,0,0,0,6,2014,24,2014-06-14
5,2650.0,1,0,0,0,6,2014,24,2014-06-13
4,2629.0,1,0,0,0,6,2014,24,2014-06-12
3,2217.0,1,0,0,0,6,2014,24,2014-06-11
2,2608.0,1,0,0,0,6,2014,24,2014-06-10
1,0.0,0,0,1,0,6,2014,24,2014-06-09
7,0.0,0,0,0,0,6,2014,23,2014-06-08
6,3373.0,1,0,0,0,6,2014,23,2014-06-07
5,3800.0,1,1,0,0,6,2014,23,2014-06-06
4,3029.0,1,1,0,0,6,2014,23,2014-06-05
3,3558.0,1,1,0,0,6,2014,23,2014-06-04
2,3113.0,1,1,0,0,6,2014,23,2014-06-03
1,3633.0,1,1,0,0,6,2014,23,2014-06-02
7,0.0,0,0,0,0,6,2014,22,2014-06-01
6,3655.0,1,0,0,0,5,2014,22,2014-05-31
5,4329.0,1,0,0,0,5,2014,22,2014-05-30
4,0.0,0,0,1,0,5,2014,22,2014-05-29
3,2563.0,1,0,0,0,5,2014,22,2014-05-28
2,2049.0,1,0,0,0,5,2014,22,2014-05-27
1,1970.0,1,0,0,0,5,2014,22,2014-05-26
7,0.0,0,0,0,0,5,2014,21,2014-05-25
6,3666.0,1,0,0,0,5,2014,21,2014-05-24
5,3162.0,1,1,0,0,5,2014,21,2014-05-23
4,2984.0,1,1,0,0,5,2014,21,2014-05-22
3,2640.0,1,1,0,0,5,2014,21,2014-05-21
2,2371.0,1,1,0,0,5,2014,21,2014-05-20
1,3376.0,1,1,0,0,5,2014,21,2014-05-19
7,0.0,0,0,0,0,5,2014,20,2014-05-18
6,3101.0,1,0,0,0,5,2014,20,2014-05-17
5,2603.0,1,0,0,0,5,2014,20,2014-05-16
4,2266.0,1,0,0,0,5,2014,20,2014-05-15
3,2038.0,1,0,0,0,5,2014,20,2014-05-14
2,2222.0,1,0,0,0,5,2014,20,2014-05-13
1,1850.0,1,0,0,0,5,2014,20,2014-05-12
7,0.0,0,0,0,0,5,2014,19,2014-05-11
6,3888.0,1,0,0,0,5,2014,19,2014-05-10
5,3690.0,1,1,0,0,5,2014,19,2014-05-09
4,3071.0,1,1,0,0,5,2014,19,2014-05-08
3,3102.0,1,1,0,0,5,2014,19,2014-05-07
2,3068.0,1,1,0,0,5,2014,19,2014-05-06
1,3309.0,1,1,0,0,5,2014,19,2014-05-05
7,0.0,0,0,0,0,5,2014,18,2014-05-04
6,4205.0,1,0,0,0,5,2014,18,2014-05-03
5,4814.0,1,1,0,0,5,2014,18,2014-05-02
4,0.0,0,1,1,0,5,2014,18,2014-05-01
3,4515.0,1,1,0,0,4,2014,18,2014-04-30
2,3342.0,1,1,0,0,4,2014,18,2014-04-29
1,3394.0,1,1,0,0,4,2014,18,2014-04-28
7,0.0,0,0,0,0,4,2014,17,2014-04-27
6,2775.0,1,0,0,0,4,2014,17,2014-04-26
5,2145.0,1,0,0,1,4,2014,17,2014-04-25
4,2619.0,1,0,0,1,4,2014,17,2014-04-24
3,2533.0,1,0,0,1,4,2014,17,2014-04-23
2,2443.0,1,0,0,1,4,2014,17,2014-04-22
1,0.0,0,0,1,1,4,2014,17,2014-04-21
7,0.0,0,0,0,0,4,2014,16,2014-04-20
6,5160.0,1,0,0,0,4,2014,16,2014-04-19
5,0.0,0,1,1,1,4,2014,16,2014-04-18
4,4728.0,1,1,0,1,4,2014,16,2014-04-17
3,3991.0,1,1,0,1,4,2014,16,2014-04-16
2,3862.0,1,1,0,1,4,2014,16,2014-04-15
1,4138.0,1,1,0,1,4,2014,16,2014-04-14
7,0.0,0,0,0,0,4,2014,15,2014-04-13
6,3105.0,1,0,0,0,4,2014,15,2014-04-12
5,2362.0,1,0,0,0,4,2014,15,2014-04-11
4,2344.0,1,0,0,0,4,2014,15,2014-04-10
3,2324.0,1,0,0,0,4,2014,15,2014-04-09
2,2030.0,1,0,0,0,4,2014,15,2014-04-08
1,1920.0,1,0,0,0,4,2014,15,2014-04-07
7,0.0,0,0,0,0,4,2014,14,2014-04-06
6,3553.0,1,0,0,0,4,2014,14,2014-04-05
5,4527.0,1,1,0,0,4,2014,14,2014-04-04
4,3247.0,1,1,0,0,4,2014,14,2014-04-03
3,3004.0,1,1,0,0,4,2014,14,2014-04-02
2,3370.0,1,1,0,0,4,2014,14,2014-04-01
1,3279.0,1,1,0,0,3,2014,14,2014-03-31
7,0.0,0,0,0,0,3,2014,13,2014-03-30
6,3292.0,1,0,0,0,3,2014,13,2014-03-29
5,3228.0,1,0,0,0,3,2014,13,2014-03-28
4,1985.0,1,0,0,0,3,2014,13,2014-03-27
3,2540.0,1,0,0,0,3,2014,13,2014-03-26
2,2273.0,1,0,0,0,3,2014,13,2014-03-25
1,2797.0,1,0,0,0,3,2014,13,2014-03-24
7,0.0,0,0,0,0,3,2014,12,2014-03-23
6,3844.0,1,0,0,0,3,2014,12,2014-03-22
5,3485.0,1,1,0,0,3,2014,12,2014-03-21
4,2178.0,1,1,0,0,3,2014,12,2014-03-20
3,2604.0,1,1,0,0,3,2014,12,2014-03-19
2,2706.0,1,1,0,0,3,2014,12,2014-03-18
1,3653.0,1,1,0,0,3,2014,12,2014-03-17
7,0.0,0,0,0,0,3,2014,11,2014-03-16
6,3740.0,1,0,0,0,3,2014,11,2014-03-15
5,2201.0,1,0,0,0,3,2014,11,2014-03-14
4,1866.0,1,0,0,0,3,2014,11,2014-03-13
3,2141.0,1,0,0,0,3,2014,11,2014-03-12
2,1859.0,1,0,0,0,3,2014,11,2014-03-11
1,1760.0,1,0,0,0,3,2014,11,2014-03-10
7,0.0,0,0,0,0,3,2014,10,2014-03-09
6,3519.0,1,0,0,0,3,2014,10,2014-03-08
5,3817.0,1,1,0,0,3,2014,10,2014-03-07
4,2785.0,1,1,0,0,3,2014,10,2014-03-06
3,2627.0,1,1,0,0,3,2014,10,2014-03-05
2,3420.0,1,1,0,0,3,2014,10,2014-03-04
1,4508.0,1,1,0,0,3,2014,10,2014-03-03
7,0.0,0,0,0,0,3,2014,9,2014-03-02
6,4443.0,1,0,0,0,3,2014,9,2014-03-01
5,3481.0,1,0,0,0,2,2014,9,2014-02-28
4,2315.0,1,0,0,0,2,2014,9,2014-02-27
3,1933.0,1,0,0,0,2,2014,9,2014-02-26
2,1679.0,1,0,0,0,2,2014,9,2014-02-25
1,1924.0,1,0,0,0,2,2014,9,2014-02-24
7,0.0,0,0,0,0,2,2014,8,2014-02-23
6,3608.0,1,0,0,0,2,2014,8,2014-02-22
5,3387.0,1,1,0,0,2,2014,8,2014-02-21
4,2869.0,1,1,0,0,2,2014,8,2014-02-20
3,2784.0,1,1,0,0,2,2014,8,2014-02-19
2,2942.0,1,1,0,0,2,2014,8,2014-02-18
1,3036.0,1,1,0,0,2,2014,8,2014-02-17
7,0.0,0,0,0,0,2,2014,7,2014-02-16
6,4408.0,1,0,0,0,2,2014,7,2014-02-15
5,3274.0,1,0,0,0,2,2014,7,2014-02-14
4,2627.0,1,0,0,0,2,2014,7,2014-02-13
3,2152.0,1,0,0,0,2,2014,7,2014-02-12
2,2129.0,1,0,0,0,2,2014,7,2014-02-11
1,2455.0,1,0,0,0,2,2014,7,2014-02-10
7,0.0,0,0,0,0,2,2014,6,2014-02-09
6,4136.0,1,0,0,0,2,2014,6,2014-02-08
5,4041.0,1,1,0,0,2,2014,6,2014-02-07
4,3645.0,1,1,0,0,2,2014,6,2014-02-06
3,3234.0,1,1,0,0,2,2014,6,2014-02-05
2,3239.0,1,1,0,0,2,2014,6,2014-02-04
1,3677.0,1,1,0,0,2,2014,6,2014-02-03
7,0.0,0,0,0,0,2,2014,5,2014-02-02
6,4820.0,1,0,0,0,2,2014,5,2014-02-01
5,3578.0,1,0,0,0,1,2014,5,2014-01-31
4,2522.0,1,0,0,0,1,2014,5,2014-01-30
3,1959.0,1,0,0,0,1,2014,5,2014-01-29
2,1734.0,1,0,0,0,1,2014,5,2014-01-28
1,2086.0,1,0,0,0,1,2014,5,2014-01-27
7,0.0,0,0,0,0,1,2014,4,2014-01-26
6,3674.0,1,0,0,0,1,2014,4,2014-01-25
5,4645.0,1,1,0,0,1,2014,4,2014-01-24
4,3013.0,1,1,0,0,1,2014,4,2014-01-23
3,3495.0,1,1,0,0,1,2014,4,2014-01-22
2,3397.0,1,1,0,0,1,2014,4,2014-01-21
1,4300.0,1,1,0,0,1,2014,4,2014-01-20
7,0.0,0,0,0,0,1,2014,3,2014-01-19
6,3555.0,1,0,0,0,1,2014,3,2014-01-18
5,2756.0,1,0,0,0,1,2014,3,2014-01-17
4,2145.0,1,0,0,0,1,2014,3,2014-01-16
3,2409.0,1,0,0,0,1,2014,3,2014-01-15
2,1793.0,1,0,0,0,1,2014,3,2014-01-14
1,1989.0,1,0,0,0,1,2014,3,2014-01-13
7,0.0,0,0,0,0,1,2014,2,2014-01-12
6,3883.0,1,0,0,0,1,2014,2,2014-01-11
5,3075.0,1,1,0,0,1,2014,2,2014-01-10
4,2503.0,1,1,0,0,1,2014,2,2014-01-09
3,3349.0,1,1,0,0,1,2014,2,2014-01-08
2,3490.0,1,1,0,1,1,2014,2,2014-01-07
1,3533.0,1,1,0,1,1,2014,2,2014-01-06
7,0.0,0,0,0,0,1,2014,1,2014-01-05
6,3592.0,1,0,0,0,1,2014,1,2014-01-04
5,3129.0,1,0,0,1,1,2014,1,2014-01-03
4,3304.0,1,0,0,1,1,2014,1,2014-01-02
3,0.0,0,0,1,1,1,2014,1,2014-01-01
2,1648.0,1,0,0,1,12,2013,1,2013-12-31
1,5375.0,1,0,0,1,12,2013,1,2013-12-30
7,0.0,0,0,0,0,12,2013,52,2013-12-29
6,3910.0,1,0,0,0,12,2013,52,2013-12-28
5,3455.0,1,0,0,1,12,2013,52,2013-12-27
4,0.0,0,0,1,1,12,2013,52,2013-12-26
3,0.0,0,0,1,1,12,2013,52,2013-12-25
2,2201.0,1,0,0,1,12,2013,52,2013-12-24
1,8725.0,1,0,0,1,12,2013,52,2013-12-23
7,0.0,0,0,0,0,12,2013,51,2013-12-22
6,6751.0,1,0,0,0,12,2013,51,2013-12-21
5,5831.0,1,1,0,0,12,2013,51,2013-12-20
4,5857.0,1,1,0,0,12,2013,51,2013-12-19
3,5068.0,1,1,0,0,12,2013,51,2013-12-18
2,5443.0,1,1,0,0,12,2013,51,2013-12-17
1,6601.0,1,1,0,0,12,2013,51,2013-12-16
7,0.0,0,0,0,0,12,2013,50,2013-12-15
6,4986.0,1,0,0,0,12,2013,50,2013-12-14
5,3850.0,1,0,0,0,12,2013,50,2013-12-13
4,2617.0,1,0,0,0,12,2013,50,2013-12-12
3,2694.0,1,0,0,0,12,2013,50,2013-12-11
2,2994.0,1,0,0,0,12,2013,50,2013-12-10
1,2664.0,1,0,0,0,12,2013,50,2013-12-09
7,0.0,0,0,0,0,12,2013,49,2013-12-08
6,4236.0,1,0,0,0,12,2013,49,2013-12-07
5,3920.0,1,1,0,0,12,2013,49,2013-12-06
4,4214.0,1,1,0,0,12,2013,49,2013-12-05
3,3532.0,1,1,0,0,12,2013,49,2013-12-04
2,3889.0,1,1,0,0,12,2013,49,2013-12-03
1,4457.0,1,1,0,0,12,2013,49,2013-12-02
7,0.0,0,0,0,0,12,2013,48,2013-12-01
6,4711.0,1,0,0,0,11,2013,48,2013-11-30
5,4287.0,1,0,0,0,11,2013,48,2013-11-29
4,2842.0,1,0,0,0,11,2013,48,2013-11-28
3,2683.0,1,0,0,0,11,2013,48,2013-11-27
2,2534.0,1,0,0,0,11,2013,48,2013-11-26
1,2917.0,1,0,0,0,11,2013,48,2013-11-25
7,0.0,0,0,0,0,11,2013,47,2013-11-24
6,3395.0,1,0,0,0,11,2013,47,2013-11-23
5,3451.0,1,1,0,0,11,2013,47,2013-11-22
4,2905.0,1,1,0,0,11,2013,47,2013-11-21
3,3350.0,1,1,0,0,11,2013,47,2013-11-20
2,2408.0,1,1,0,0,11,2013,47,2013-11-19
1,2925.0,1,1,0,0,11,2013,47,2013-11-18
7,0.0,0,0,0,0,11,2013,46,2013-11-17
6,3847.0,1,0,0,0,11,2013,46,2013-11-16
5,2682.0,1,0,0,0,11,2013,46,2013-11-15
4,2441.0,1,0,0,0,11,2013,46,2013-11-14
3,2153.0,1,0,0,0,11,2013,46,2013-11-13
2,1840.0,1,0,0,0,11,2013,46,2013-11-12
1,2115.0,1,0,0,0,11,2013,46,2013-11-11
7,0.0,0,0,0,0,11,2013,45,2013-11-10
6,3597.0,1,0,0,0,11,2013,45,2013-11-09
5,3850.0,1,1,0,0,11,2013,45,2013-11-08
4,3911.0,1,1,0,0,11,2013,45,2013-11-07
3,3477.0,1,1,0,0,11,2013,45,2013-11-06
2,15991.0,1,1,0,0,11,2013,45,2013-11-05
1,4399.0,1,1,0,0,11,2013,45,2013-11-04
7,0.0,0,0,0,0,11,2013,44,2013-11-03
6,5956.0,1,0,0,0,11,2013,44,2013-11-02
5,0.0,0,0,1,0,11,2013,44,2013-11-01
4,3629.0,1,0,0,0,10,2013,44,2013-10-31
3,2387.0,1,0,0,0,10,2013,44,2013-10-30
2,2011.0,1,0,0,0,10,2013,44,2013-10-29
1,2117.0,1,0,0,0,10,2013,44,2013-10-28
7,0.0,0,0,0,0,10,2013,43,2013-10-27
6,17298.0,1,0,0,0,10,2013,43,2013-10-26
5,3087.0,1,1,0,0,10,2013,43,2013-10-25
4,2325.0,1,1,0,0,10,2013,43,2013-10-24
3,3265.0,1,1,0,0,10,2013,43,2013-10-23
2,2314.0,1,1,0,0,10,2013,43,2013-10-22
1,2830.0,1,1,0,0,10,2013,43,2013-10-21
7,0.0,0,0,0,0,10,2013,42,2013-10-20
6,16558.0,1,0,0,0,10,2013,42,2013-10-19
5,1997.0,1,0,0,1,10,2013,42,2013-10-18
4,2043.0,1,0,0,1,10,2013,42,2013-10-17
3,2218.0,1,0,0,1,10,2013,42,2013-10-16
2,2246.0,1,0,0,1,10,2013,42,2013-10-15
1,2673.0,1,0,0,1,10,2013,42,2013-10-14
7,0.0,0,0,0,0,10,2013,41,2013-10-13
6,2792.0,1,0,0,0,10,2013,41,2013-10-12
5,16092.0,1,1,0,1,10,2013,41,2013-10-11
4,2539.0,1,1,0,1,10,2013,41,2013-10-10
3,3869.0,1,1,0,1,10,2013,41,2013-10-09
2,3176.0,1,1,0,1,10,2013,41,2013-10-08
1,4178.0,1,1,0,1,10,2013,41,2013-10-07
